,supersub_activated_leg_yn,bet_type,in_play_yn,sim,total_stakes,total_payout
0,Y,Multiple,N,184,12764.10128600,223325.072753
1,N,Single,N,142,30891.54080800,76674.071027
2,N,Single,N,134,8324.82907600,36913.121878
3,N,Multiple,Y,88,2303.12252900,28076.667522
4,Y,Single,Y,43,1050.05208000,4304.150254
5,Y,Multiple,Y,189,524.19180900,6685.764991
6,N,Multiple,Y,128,2338.46746800,25838.794966
7,Y,Multiple,N,183,62851.63652200,815347.691459
8,N,Single,Y,188,4550.92378700,24135.248336
9,Y,Single,N,193,1691.32441900,6673.026465
10,N,Multiple,N,44,26997.90374300,279327.892901
11,Y,Multiple,N,135,25529.65496400,354282.968181
12,Y,Multiple,N,141,26331.60740400,163649.649219
13,Y,Multiple,Y,139,2356.69961500,28191.341567
14,N,Multiple,N,40,11690.18628800,111239.994592
15,N,Single,N,166,3475.11663300,20945.940464
16,Y,Single,N,112,11131.00200000,51673.145563
17,Y,Multiple,N,156,2620.63817100,51837.315946
18,N,Single,Y,58,6466.64082500,38096.955801
19,Y,Multiple,N,59,8072.07239800,73128.549164
20,Y,Single,N,80,31691.25271600,98775.477654
21,Y,Multiple,Y,186,480.68816000,5826.128988
22,Y,Multiple,Y,158,1985.20891800,14663.962809
23,Y,Single,Y,3,2082.13254500,7651.012817
24,Y,Multiple,N,159,27907.31476200,236601.578637
25,N,Multiple,N,187,38179.89903500,418200.291075
26,Y,Multiple,N,34,12931.22585900,133806.514598
27,N,Single,N,138,7391.89834200,23502.714638
28,Y,Single,Y,92,4673.41042000,14210.540033
29,Y,Multiple,N,176,7337.92164300,109588.761498
30,Y,Multiple,N,145,8693.45155000,131596.464309
31,Y,Multiple,Y,115,765.65652800,8460.345946
32,N,Multiple,Y,35,2857.40808300,35574.733988
33,Y,Multiple,N,175,14325.51316300,168727.556843
34,N,Single,N,120,21322.96589000,46899.372845
35,Y,Multiple,Y,22,1352.22651700,16160.701782
36,Y,Single,Y,148,2396.76368600,8582.097493
37,N,Multiple,Y,124,1158.56170000,10344.774511
38,N,Single,Y,127,6272.04235400,28598.678232
39,Y,Multiple,N,7,13892.95309600,206513.033816
40,Y,Multiple,N,149,8619.23296300,125917.243124
41,Y,Multiple,N,177,7895.29375200,120482.686767
42,Y,Single,N,129,7572.57776200,23444.488624
43,Y,Single,N,197,1322.30350000,3613.226547
44,Y,Single,N,182,181549.95085100,279267.813604
45,N,Single,N,20,22241.88344300,45319.289270
46,Y,Multiple,N,46,23419.32089800,435684.754206
47,N,Multiple,Y,4,854.92121400,14366.447031
48,Y,Multiple,Y,41,301.30142600,4364.680716
49,N,Multiple,N,94,11020.09339600,143079.944224
50,N,Single,Y,131,6590.13914400,39775.646418
51,N,Multiple,N,167,18965.51093900,177123.238751
52,N,Multiple,Y,27,1407.83032400,20778.502738
53,Y,Multiple,N,15,4280.90194100,85048.129112
54,N,Multiple,Y,39,1760.47774000,17607.735108
55,N,Single,N,89,11773.05411000,35590.314908
56,Y,Multiple,Y,157,1232.35130000,11758.613084
57,N,Multiple,Y,34,1675.34068700,28007.235033
58,Y,Multiple,N,57,9548.58589700,156852.844376
59,N,Single,N,117,3569.39646800,10272.603782
60,Y,Multiple,N,77,3032.84921200,35151.596077
61,Y,Single,N,119,15473.86271700,31151.629813
62,Y,Single,Y,54,726.83124000,2980.211472
63,N,Single,N,183,11278.94536700,40226.854009
64,Y,Multiple,Y,6,1397.00932900,18702.330701
65,N,Multiple,Y,11,1918.71330000,30528.768649
66,N,Single,Y,51,4491.76365700,21798.822296
67,Y,Single,N,198,13216.08689000,22370.692287
68,N,Single,Y,139,6335.11167400,26759.186603
69,N,Single,N,189,10502.28482700,45277.289146
70,Y,Multiple,N,130,19366.95815600,200029.283509
71,N,Single,N,84,5310.98780300,23914.832932
72,Y,Single,Y,142,1548.14707000,4008.159379
73,N,Multiple,Y,61,1309.11981100,25837.150526
74,N,Multiple,N,179,17929.22864900,229079.488433
75,N,Multiple,Y,93,2325.77476800,17811.298328
76,Y,Single,N,150,1908.10855000,5823.446227
77,Y,Multiple,N,40,1677.09540300,27191.872750
78,Y,Multiple,N,61,73276.76579600,873013.069417
79,Y,Single,N,139,10703.60289000,29888.170143
80,N,Single,N,129,7525.71919500,34403.760363
81,Y,Multiple,Y,177,983.33215000,12817.921245
82,Y,Single,Y,18,1576.35324500,7004.344846
83,N,Multiple,Y,168,2454.18126700,19019.762116
84,Y,Multiple,N,126,6697.04085700,78327.872406
85,N,Multiple,Y,163,1887.19558400,33035.870577
86,N,Multiple,Y,2,1821.25143800,18944.128546
87,Y,Multiple,Y,75,708.12117600,11034.244674
88,N,Single,N,14,7005.23128000,18447.607006
89,Y,Single,Y,44,775.14550500,2423.326441
90,Y,Multiple,N,37,24201.94281500,349228.561559
91,N,Single,Y,40,4029.26694200,25039.343432
92,Y,Single,Y,141,7115.69633700,18699.393925
93,Y,Single,Y,156,438.99978500,2349.067705
94,Y,Multiple,N,86,9920.18930900,154289.045466
95,Y,Single,Y,118,561.53813000,3217.862474
96,Y,Single,N,20,3087.38421100,8789.009526
97,N,Single,N,152,6606.41391900,26980.378139
98,N,Multiple,N,21,7787.92830100,115325.154440
99,N,Multiple,Y,181,3986.19302700,48594.927207
100,Y,Single,Y,45,525.19004000,1599.642108
101,N,Single,Y,49,7309.95740700,29569.480062
102,Y,Multiple,N,89,5528.59022000,53882.213243
103,N,Multiple,Y,38,2992.29245300,26294.797472
104,Y,Single,N,44,2749.34408500,11955.152353
105,N,Single,N,103,11258.49633400,31797.406527
106,Y,Multiple,Y,128,1568.74788900,14424.580977
107,Y,Single,Y,65,1731.79179300,4728.027076
108,Y,Single,N,188,9622.98442800,43997.043181
109,Y,Single,N,173,2500.13071800,5990.620014
110,Y,Single,Y,94,1150.10489200,3589.008572
