,event_id,market_id,selection_id,home_team,away_team,selection_name,sot_level,actual_sot,total_bets_laid_on_next_sot_level,total_bets_laid,next_sot_level_laid,sample_weight
0,12804248,460134403,2226823557,Arsenal,Liverpool,Ryan Gravenberch,1,0,599,33639955,1,1.78062069345812e-05
1,12309927,439783233,1962285568,Everton,Brighton,Idrissa Gueye,1,0,38,33639955,1,1.12960912105857e-06
2,13398474,481775171,2319259114,Crystal Palace,Aston Villa,Daniel Munoz,1,0,378,33639955,1,1.12366380989511e-05
3,13202028,474146552,2286056039,Ipswich,Man City,Ben Godfrey,1,0,20,33639955,1,5.94531116346618e-07
4,12565951,440572107,1965790224,Brighton,Man Utd,Joel Veltman,1,0,24,33639955,1,7.13437339615942e-07
5,13303989,479020833,2306988086,Everton,Liverpool,Treymaurice Nyoni,1,0,10,33639955,1,2.97265558173309e-07
6,13736300,503134665,2405251130,Liverpool,Arsenal,Jarell Quansah,1,0,6,33639955,1,1.78359334903985e-07
7,13621899,497193849,2378824009,Newcastle,Man Utd,Christian Eriksen,1,0,1009,33639955,1,2.99940948196869e-05
8,13149179,470836645,2272276751,Tottenham,Wolves,Luke Cundle,1,0,1,33639955,1,2.97265558173309e-08
9,13149180,470835883,2272273259,Everton,Nottm Forest,Beto,2,1,3,33639955,2,8.91796674519927e-08
10,13398471,481965102,2320180123,West Ham,Leicester,Guido Rodriguez,1,0,1,33639955,1,2.97265558173309e-08
11,12697142,452124587,2192376488,Everton,Crystal Palace,Maxence Lacroix,1,0,11,33639955,1,3.2699211399064e-07
12,12609339,443478696,2155874545,Tottenham,Arsenal,Dejan Kulusevski,2,1,199,33639955,2,5.91558460764885e-06
13,13177411,473720211,2284237912,Arsenal,Tottenham,Archie Gray,1,0,9,33639955,1,2.67539002355978e-07
14,13058823,467857059,2259210217,Fulham,Arsenal,Emile Smith Rowe,1,0,3709,33639955,1,0.00011025579552648
15,13119695,470698879,2271565243,Liverpool,Leicester,Tyler Morton,1,0,3,33639955,1,8.91796674519927e-08
16,13736295,503070939,2404991923,Wolves,Brighton,Jorgen Strand Larsen,1,0,302,33639955,1,8.97741985683394e-06
17,12627901,444861600,2161661871,Brighton,Nottm Forest,Lewis Dunk,1,0,221,33639955,1,6.56956883563013e-06
18,12767523,458817879,2221302300,Ipswich,Everton,Beto,1,0,3,33639955,1,8.91796674519927e-08
19,13770876,504280476,2410421435,Aston Villa,Tottenham,Ross Barkley,1,0,8,33639955,1,2.37812446538647e-07
20,12731638,455061666,2205001105,Everton,Newcastle,Orel Mangala,1,0,29,33639955,1,8.62070118702596e-07
21,13089613,470036888,2268633851,Aston Villa,Man City,Youri Tielemans,1,0,1600,33639955,1,4.75624893077295e-05
22,13840364,505917289,2417520442,Fulham,Man City,Kenny Tete,1,0,5,33639955,1,1.48632779086655e-07
23,13664437,500249395,2392443711,Newcastle,Ipswich,Tino Livramento,1,0,18,33639955,1,5.35078004711956e-07
24,13770857,504487081,2411324376,Everton,Southampton,Dominic Calvert-Lewin,1,0,88,33639955,1,2.61593691192512e-06
25,13501221,493919426,2365761784,Newcastle,Brentford,Sepp van den Berg,1,0,2,33639955,1,5.94531116346618e-08
26,13119688,470672769,2271423283,Newcastle,Aston Villa,Leon Bailey,1,0,24,33639955,1,7.13437339615942e-07
27,13266460,476742437,2297155485,Arsenal,Man City,Kevin De Bruyne,1,0,2790,33639955,1,8.29370907303532e-05
28,13701719,501753578,2399129776,Brighton,Newcastle,Yasin Ayari,1,0,1,33639955,1,2.97265558173309e-08
29,12570017,441609719,2147802154,Newcastle,Tottenham,Dan Burn,1,0,255,33639955,1,7.58027173341938e-06
30,13089576,470036975,2268634227,Fulham,Southampton,Nathan Wood,1,0,3,33639955,1,8.91796674519927e-08
31,13501246,494181660,2366744960,Southampton,Crystal Palace,Marc Guehi,1,0,17,33639955,1,5.05351448894625e-07
32,13635242,498776267,2385814467,West Ham,Southampton,Paul Onuachu,1,0,1168,33639955,1,3.47206171946425e-05
33,13026600,467517835,2257682230,Southampton,Chelsea,Kiernan Dewsbury-Hall,1,0,6,33639955,1,1.78359334903985e-07
34,12697144,451353467,2188893892,Chelsea,Brighton,Noni Madueke,1,0,3475,33639955,1,0.000103299781465225
35,12866488,461455208,2232398447,Tottenham,Aston Villa,Mikey Moore,1,0,2,33639955,1,5.94531116346618e-08
36,13270883,476741873,2297152128,Brentford,Tottenham,Vitaly Janelt,1,0,55,33639955,1,1.6349605699532e-06
37,13635253,498776377,2385815696,Man Utd,Wolves,Harry Maguire,1,0,66,33639955,1,1.96195268394384e-06
38,13770868,504929966,2413345150,Leicester,Ipswich,Dara O'Shea,1,0,8,33639955,1,2.37812446538647e-07
39,13089598,470037665,2268638904,Brentford,Nottm Forest,Sepp van den Berg,1,0,1,33639955,1,2.97265558173309e-08
40,12697152,452956029,2196348952,Bournemouth,Southampton,Luis Sinisterra,2,1,15,33639955,2,4.45898337259964e-07
41,13398473,481787720,2319320549,Tottenham,Man City,Dane Scarlett,1,0,8,33639955,1,2.37812446538647e-07
42,13076323,469083900,2264353433,Chelsea,Brentford,Yoane Wissa,1,0,2,33639955,1,5.94531116346618e-08
43,12627904,445429881,2163999399,Man City,Arsenal,Rodri,1,0,4767,33639955,1,0.000141706491581216
44,13254876,475548708,2292073995,Brighton,Everton,Jack Harrison,1,0,4,33639955,1,1.18906223269324e-07
45,12731620,455073329,2205043349,Aston Villa,Man Utd,Ross Barkley,1,0,1,33639955,1,2.97265558173309e-08
46,13149204,470834738,2272266844,Man Utd,Newcastle,Joelinton,2,1,423,33639955,2,1.2574333110731e-05
47,12609321,443494623,2155947074,Brighton,Ipswich,Jan Paul van Hecke,1,0,5,33639955,1,1.48632779086655e-07
48,13177390,473528661,2283480952,West Ham,Fulham,Rodrigo Muniz,1,0,63,33639955,1,1.87277301649185e-06
49,12309924,439783269,1962286041,Nottm Forest,Bournemouth,Jaidon Anthony,1,0,1,33639955,1,2.97265558173309e-08
50,13026598,467335785,2256937928,Ipswich,Crystal Palace,Jack Taylor,1,0,4,33639955,1,1.18906223269324e-07
51,13736284,503133897,2405245181,Fulham,Everton,Nathan Patterson,1,0,1,33639955,1,2.97265558173309e-08
52,13254831,475548762,2292076481,Man City,Chelsea,Reece James,1,0,1,33639955,1,2.97265558173309e-08
53,13299424,479439039,2308940127,Fulham,Nottm Forest,Adama Traore,2,1,7,33639955,2,2.08085890721316e-07
54,13331843,480783132,2314819020,Southampton,Brighton,Armel Bella-Kotchap,1,0,1,33639955,1,2.97265558173309e-08
55,12731561,456047843,2209066884,Arsenal,Southampton,Tyler Dibling,1,0,397,33639955,1,1.18014426594804e-05
56,13076334,469083873,2264352690,Wolves,Ipswich,Mario Lemina,1,0,1,33639955,1,2.97265558173309e-08
57,13333916,480782455,2314815624,Ipswich,Tottenham,Jaden Philogene,1,0,83,33639955,1,2.46730413283847e-06
58,13119674,470670909,2271412672,Wolves,Man Utd,Bruno Fernandes,1,0,7,33639955,1,2.08085890721316e-07
59,13026598,467335785,2256937933,Ipswich,Crystal Palace,Jack Clarke,1,0,690,33639955,1,2.05113235139583e-05
60,13299468,479433948,2308915601,Liverpool,Wolves,Nelson Semedo,2,1,34,33639955,2,1.01070289778925e-06
61,13201999,474146741,2286056944,Chelsea,Wolves,Matheus Cunha,2,1,2790,33639955,2,8.29370907303532e-05
62,12309863,439783212,1962284689,Newcastle,Southampton,Adam Armstrong,2,1,47,33639955,2,1.39714812341455e-06
63,13534451,494906345,2369661261,Leicester,Newcastle,Wout Faes,1,0,26,33639955,1,7.72890451250604e-07
64,13303989,479020833,2306988067,Everton,Liverpool,Federico Chiesa,1,0,32,33639955,1,9.51249786154589e-07
65,12565942,440573075,1965795545,Liverpool,Brentford,Kristoffer Ajer,1,0,82,33639955,1,2.43757757702113e-06
66,13166263,471687335,2275879079,Crystal Palace,Chelsea,Eddie Nketiah,1,0,18,33639955,1,5.35078004711956e-07
67,13254846,475548654,2292071727,Aston Villa,West Ham,Danny Ings,1,0,75,33639955,1,2.22949168629982e-06
68,13026597,467335743,2256937044,Leicester,West Ham,Edson Alvarez,1,0,83,33639955,1,2.46730413283847e-06
69,13433253,484848394,2331325804,Man Utd,Arsenal,Bruno Fernandes,2,1,4734,33639955,2,0.000140725515239245
70,12697137,451133697,2188021466,Newcastle,Man City,Ruben Dias,1,0,393,33639955,1,1.1682536436211e-05
71,12565539,440579190,1965824360,Fulham,Leicester,Antonee Robinson,1,0,22,33639955,1,6.5398422798128e-07
72,13664462,500247660,2392433057,Brighton,West Ham,Jack Hinshelwood,1,0,40,33639955,1,1.18906223269324e-06
73,12565926,440573408,1965797313,Bournemouth,Newcastle,Dan Burn,2,1,16,33639955,2,4.75624893077295e-07
74,13635241,498774281,2385802727,Ipswich,Arsenal,Bukayo Saka,1,0,16535,33639955,1,0.000491528600439567
75,13089576,470036975,2268634226,Fulham,Southampton,Flynn Downes,1,0,30,33639955,1,8.91796674519927e-07
76,13254873,475548728,2292075050,Fulham,Man Utd,Antonee Robinson,1,0,333,33639955,1,9.89894308717119e-06
